Id,Sale_Price
1,269373
2,195813
3,183725
4,178265
5,194065
6,102260
7,134505
8,285070
9,347328
10,212458
11,557160
12,335203
13,195742
14,173686
15,368043
16,304784
17,465253
18,242295
19,230599
20,114112
21,141776
22,142060
23,112798
24,136142
25,272712
26,270937
27,165469
28,265583
29,235024
30,147191
31,201174
32,177585
33,159854
34,145751
35,167614
36,217766
37,124659
38,216124
39,124464
40,166151
41,131612
42,119178
43,127579
44,106055
45,131122
46,101204
47,149950
48,150845
49,315926
50,126239
51,175829
52,78093
53,71906
54,100318
55,126349
56,160176
57,87564
58,161976
59,138821
60,55160
61,92070
62,100079
63,80656
64,77835
65,137050
66,127995
67,140253
68,166361
69,143624
70,286671
71,224123
72,135759
73,128869
74,170707
75,236593
76,150773
77,149595
78,120423
79,303273
80,136098
81,117139
82,150741
83,143307
84,145805
85,118013
86,111870
87,192092
88,244977
89,198195
90,162456
91,102792
92,86770
93,105084
94,83022
95,162297
96,208919
97,177433
98,161979
99,150631
100,239551
101,203355
102,329006
103,180930
104,126196
105,122908
106,130556
107,143209
108,264519
109,234713
110,425271
111,276488
112,162056
113,174808
114,151653
115,156895
116,335400
117,173849
118,185600
119,220414
120,147224
121,142183
122,141699
123,137341
124,116929
125,114757
126,143813
127,145159
128,119840
129,164427
130,308096
131,358216
132,333604
133,245317
134,198139
135,324109
136,182596
137,171070
138,185002
139,206232
140,181302
141,211304
142,189812
143,334736
144,327946
145,279736
146,221565
147,243828
148,230895
149,250973
150,479421
151,180868
152,208003
153,189622
154,213296
155,301052
156,256852
157,185506
158,202121
159,175690
160,158696
161,197497
162,153586
163,77743
164,81448
165,125460
166,120793
167,223630
168,178543
169,144595
170,160077
171,190142
172,216874
173,115719
174,123217
175,208477
176,115638
177,160279
178,146817
179,189924
180,132561
181,119774
182,174424
183,182878
184,129749
185,237185
186,154144
187,136822
188,118593
189,133289
190,155190
191,112569
192,113922
193,120106
194,92519
195,133497
196,70061
197,72785
198,133142
199,126051
200,144534
201,126219
202,99222
203,101891
204,122077
205,95576
206,109005
207,106018
208,132388
209,91535
210,90636
211,87640
212,106572
213,124289
214,150542
215,126699
216,108346
217,135597
218,62512
219,112799
220,132656
221,150359
222,89350
223,122128
224,90310
225,125001
226,134406
227,141576
228,127479
229,160739
230,56376
231,254035
232,105871
233,128440
234,87025
235,118050
236,164831
237,215441
238,107622
239,147415
240,118828
241,119580
242,117440
243,339019
244,227877
245,181387
246,271082
247,227472
248,188577
249,162740
250,157804
251,208585
252,203848
253,186382
254,217981
255,204969
256,153616
257,254775
258,222049
259,195098
260,192577
261,188335
262,111418
263,153651
264,77446
265,87468
266,117840
267,137807
268,106688
269,69747
270,138305
271,263997
272,142558
273,154594
274,141909
275,140884
276,201529
277,202012
278,134413
279,213989
280,289947
281,87109
282,67517
283,262329
284,223871
285,177665
286,181123
287,217504
288,131382
289,110673
290,172966
291,86305
292,145560
293,169857
294,156156
295,139092
296,198778
297,247324
298,189059
299,163477
300,218248
301,307358
302,233625
303,184754
304,183291
305,195179
306,203924
307,365220
308,270577
309,181784
310,183929
311,164434
312,150556
313,143944
314,121755
315,176052
316,101656
317,449682
318,355746
319,517971
320,268070
321,209024
322,287011
323,212997
324,196052
325,212772
326,217714
327,228368
328,231841
329,302858
330,257333
331,319301
332,350351
333,344708
334,271092
335,292258
336,221315
337,182396
338,237548
339,148476
340,196396
341,168818
342,164082
343,184397
344,204376
345,183531
346,140038
347,212147
348,212745
349,252542
350,199635
351,264607
352,153008
353,144333
354,149831
355,347558
356,189086
357,107176
358,108300
359,155607
360,149497
361,155054
362,78577
363,79279
364,153380
365,160529
366,131664
367,176539
368,169507
369,187846
370,162254
371,162184
372,131557
373,116023
374,126713
375,183910
376,128391
377,117975
378,80773
379,97604
380,139090
381,175447
382,153368
383,118443
384,133649
385,112198
386,102622
387,106146
388,142573
389,132322
390,183266
391,125209
392,125527
393,104708
394,154011
395,109349
396,136799
397,114781
398,162480
399,118152
400,140667
401,86264
402,109260
403,93392
404,75831
405,167391
406,138447
407,105436
408,84383
409,112388
410,117128
411,76880
412,130259
413,127059
414,126828
415,134309
416,133443
417,91359
418,140899
419,132366
420,186502
421,160876
422,231561
423,237286
424,229333
425,170770
426,243008
427,200481
428,198506
429,221434
430,227761
431,128238
432,122679
433,127586
434,213837
435,241304
436,219847
437,139379
438,212084
439,201936
440,143950
441,120744
442,190699
443,161890
444,147020
445,72395
446,148802
447,112634
448,75533
449,115055
450,115553
451,137948
452,143829
453,144232
454,92069
455,109970
456,137055
457,119208
458,184914
459,230649
460,143427
461,118145
462,159669
463,152831
464,272645
465,285167
466,133455
467,316043
468,199565
469,227190
470,167911
471,125289
472,112713
473,108282
474,128067
475,157053
476,195179
477,159444
478,183489
479,152067
480,172488
481,169353
482,186028
483,304955
484,397570
485,150358
486,212925
487,209757
488,199519
489,127380
490,137645
491,143850
492,118553
493,115229
494,112673
495,122840
496,116468
497,124391
498,127241
499,339311
500,293510
501,324437
502,332407
503,302909
504,393603
505,253103
506,351375
507,361275
508,306574
509,396867
510,367580
511,305809
512,313156
513,202431
514,201872
515,244685
516,211561
517,162513
518,185282
519,196842
520,199647
521,173205
522,197666
523,186463
524,201594
525,219125
526,209971
527,167563
528,154876
529,206666
530,192580
531,240274
532,241607
533,278284
534,385980
535,245712
536,231809
537,216035
538,234612
539,227204
540,176202
541,318671
542,203601
543,134781
544,175311
545,229642
546,157967
547,146816
548,145045
549,137995
550,288484
551,169152
552,362911
553,189713
554,185473
555,160016
556,174353
557,168618
558,156592
559,227909
560,219298
561,148712
562,119388
563,112744
564,145883
565,219015
566,146082
567,137503
568,171072
569,146204
570,110900
571,189735
572,134348
573,147688
574,144332
575,140007
576,127810
577,182980
578,115390
579,129872
580,162652
581,115201
582,123202
583,112675
584,137164
585,260651
586,101428
587,112996
588,130729
589,197608
590,165362
591,99735
592,134191
593,111727
594,96148
595,118976
596,127958
597,98617
598,163081
599,126831
600,200495
601,102903
602,127772
603,126951
604,145506
605,123623
606,196862
607,120090
608,163246
609,80614
610,225387
611,155967
612,97988
613,128172
614,111256
615,111421
616,120350
617,163664
618,191407
619,235914
620,77794
621,121428
622,89089
623,165607
624,401776
625,251335
626,251916
627,193204
628,188954
629,191844
630,268180
631,229059
632,137394
633,212151
634,233285
635,223471
636,225158
637,217039
638,147362
639,120712
640,199346
641,215824
642,255409
643,226379
644,200865
645,196184
646,151836
647,150020
648,167703
649,81091
650,98600
651,101460
652,196258
653,148645
654,126798
655,125757
656,186815
657,170757
658,126359
659,262830
660,170260
661,342179
662,107404
663,88290
664,146435
665,70735
666,73308
667,97989
668,255230
669,250851
670,197308
671,205492
672,281168
673,126683
674,159853
675,132664
676,89834
677,132095
678,131455
679,153981
680,130124
681,147137
682,187336
683,207958
684,204863
685,357630
686,192014
687,252888
688,416297
689,352800
690,257555
691,425819
692,241703
693,166175
694,201389
695,162919
696,245887
697,183163
698,157368
699,146278
700,91227
701,104321
702,109751
703,103859
704,115456
705,114374
706,106844
707,170739
708,281143
709,240767
710,314650
711,309897
712,328425
713,291189
714,384047
715,289744
716,319015
717,296715
718,193376
719,174607
720,185210
721,211289
722,175417
723,180321
724,235852
725,247101
726,186426
727,318967
728,285489
729,285063
730,301803
731,322475
732,240885
733,415191
734,226364
735,355866
736,208671
737,186684
738,194620
739,129816
740,203351
741,208191
742,150058
743,126895
744,128713
745,145248
746,117358
747,121826
748,473698
749,262504
750,212596
751,154597
752,154595
753,183037
754,175379
755,211828
756,217437
757,242047
758,185894
759,284275
760,129090
761,166627
762,127733
763,175431
764,191083
765,153748
766,138668
767,112437
768,125854
769,129632
770,140265
771,139105
772,132125
773,146128
774,118548
775,138761
776,131489
777,127979
778,150889
779,132838
780,109196
